id,wm,proficiency,accent
L1,4,Low,1.703703704
L2,4,Low,1.888888889
L3,4,Low,2.555555556
L4,4,Low,2.703703704
L5,4,Low,2.777777778
L6,4,Low,3.777777778
L7,4,Low,3.777777778
L8,4,Low,2.888888889
L9,4,Low,2.958333333
L10,4,Low,3.166666667
L11,4,Low,3.296296296
L12,4,Low,3.444444444
L13,4,Low,3.592592593
L14,4,Low,4.074074074
L15,5,Low,2.074074074
L16,5,Low,2.37037037
L17,5,Low,2.481481481
L18,5,Low,2.740740741
L19,5,Low,2.777777778
L20,5,Low,2.851851852
L21,5,Low,2.888888889
L22,5,Low,3.851851852
L23,5,Low,3.962962963
L24,6,Low,3.037037037
L25,6,Low,3.111111111
L26,6,Low,3.259259259
L27,6,Low,4.208333333
L28,6,Low,4.25
L29,6,Low,4.37037037
L30,6,Low,5.074074074
L31,7,Low,4.111111111
L32,7,Low,4.592592593
L33,7,Low,4.592592593
L34,7,Low,5.111111111
L35,7,Low,5.777777778
H1,4,High,2.592592593
H2,4,High,2.958333333
H3,4,High,3
H4,4,High,3.296296296
H5,4,High,3.708333333
H6,4,High,4.888888889
H7,4,High,5.555555556
H8,4,High,5.555555556
H9,4,High,6.037037037
H10,4,High,6.333333333
H11,4,High,7.111111111
H12,4,High,7.703703704
H13,4,High,7.703703704
H14,4,High,7.851851852
H15,5,High,4.814814815
H16,5,High,4.851851852
H17,5,High,5.037037037
H18,5,High,5.148148148
H19,5,High,5.185185185
H20,5,High,5.185185185
H21,5,High,5.777777778
H22,5,High,6.703703704
H23,5,High,6.740740741
H24,6,High,2.888888889
H25,6,High,3
H26,6,High,3.62962963
H27,6,High,4.037037037
H28,6,High,4.888888889
H29,6,High,5.074074074
H30,6,High,6.888888889
H31,7,High,2.916666667
H32,7,High,3.925925926
H33,7,High,5.555555556
H34,7,High,5.851851852
H35,7,High,6.185185185
